"1. Para empezar ¿Cuántos cursos de educación permanente realizó el año pasado 2023?","2. ¿Desde qué centro/facultad realizó el/los cursos? (puede marcar todas las que correspondan en caso de haber realizado dos cursos o más en diferentes centros)","Centro/Facultad II","Centro/Facultad III","Centro/Facultad IV","2a. Aclaración Otro","3. ¿Qué tipo de curso fue? (si fueron varios cursos, tome en cuenta el último curso que realizó)","4. ¿Cuánto horas/tiempo duró el curso?","5. ¿Que estrategias pedagógicas utilizó el docente para dictarlo? [Herramientas de video-conferencia (Zoom por ejemplo)]","5. ¿Que estrategias pedagógicas utilizó el docente para dictarlo? [Presentaciones (ppt, pdf, etc.)]","5. ¿Que estrategias pedagógicas utilizó el docente para dictarlo? [Herramientas interactivas (encuestas en vivo, foros, etc.)]","5. ¿Que estrategias pedagógicas utilizó el docente para dictarlo? [Trabajo colaborativo]","5. ¿Que estrategias pedagógicas utilizó el docente para dictarlo? [Formularios de auto-evaluación]","5. ¿Que estrategias pedagógicas utilizó el docente para dictarlo? [Evaluación entre pares (corrección de trabajos entre los participantes)]","5. ¿Que estrategias pedagógicas utilizó el docente para dictarlo? [Evaluación automática (por ejemplo, prueba/parcial por formulario en EVA)]","5. ¿Que estrategias pedagógicas utilizó el docente para dictarlo? [Rúbrica docente (Tabla que indica los criterios que se evalúan y los niveles de calidad alcanzados)]","6. Más allá de los items anteriores, en el curso existieron actividades interactivas/participativas del siguiente tipo: [Talleres]","6. Más allá de los items anteriores, en el curso existieron actividades interactivas/participativas del siguiente tipo: [Estudios de casos ]","6. Más allá de los items anteriores, en el curso existieron actividades interactivas/participativas del siguiente tipo: [Mesa redonda (por ejemplo charlas con invitados)]","6. Más allá de los items anteriores, en el curso existieron actividades interactivas/participativas del siguiente tipo: [Ateneos]","6. Más allá de los items anteriores, en el curso existieron actividades interactivas/participativas del siguiente tipo: [Otra]","7. Si tuviera que definir el curso en términos generales, diría que...","8. ¿El último curso que realizó formaba parte de algún posgrado (diploma/maestría/doctorado)?","9. ¿Recibe información de Educación Permanente sobre actividades y/o cursos?","10. ¿Por cuál medio se enteró de la existencia del último curso(s) que realizó? (Marqué hasta dos opciones)","Medio II","Medio III","Medio IV","11. ¿Con que frecuencia se entera de las novedades de la Udelar y de Educación Permanente?","12. Sobre el último curso, en términos generales, en una escala de uno a diez, donde 1 es muy malo y diez excelente ¿Cómo evaluaría el curso?","13. ¿Considera que los contenidos del curso fueron útiles para Ud.?","14. El curso ¿Contribuyó positivamente en su trayectoria laboral? ","15. Le vamos a enunciar una serie de afirmaciones. Le pedimos que conteste su grado de acuerdo o desacuerdo... [15a Los cursos de Educación Permanente guardan mucha relación con las demandas del mundo laboral]","15. Le vamos a enunciar una serie de afirmaciones. Le pedimos que conteste su grado de acuerdo o desacuerdo... [15b. Los cursos de Educación Permanente son útiles para su profesión]","15. Le vamos a enunciar una serie de afirmaciones. Le pedimos que conteste su grado de acuerdo o desacuerdo... [15c. Los docentes se preocupan por ofrecer contenidos y formación acorde a las exigencias del mercado laboral cuando proponen cursos]","15. Le vamos a enunciar una serie de afirmaciones. Le pedimos que conteste su grado de acuerdo o desacuerdo... [15d. La Udelar se víncula con el mundo laboral a través de los cursos de Educación Permanente]","15. Le vamos a enunciar una serie de afirmaciones. Le pedimos que conteste su grado de acuerdo o desacuerdo... [15e. Los cursos atienden necesidades prácticas]","16. Si tuviera que elegir entre un curso virtual o presencial...","17. Por último, ¿Conoce y/o a realizado algún curso en alguna de estas plataformas? [Coursera]","17. Por último, ¿Conoce y/o a realizado algún curso en alguna de estas plataformas? [Domestika]","17. Por último, ¿Conoce y/o a realizado algún curso en alguna de estas plataformas? [Udemy]","17. Por último, ¿Conoce y/o a realizado algún curso en alguna de estas plataformas? [Edx]","17. Por último, ¿Conoce y/o a realizado algún curso en alguna de estas plataformas? [Otra]","17a. Aclaración ""Otra""","18. Le vamos a realizar algunas preguntas sobre Ud. para poder ordenar a los entrevistados.... ¿Cual es su Sexo/Género?","19. ¿Cuantos años tiene cumplidos a la fecha? (Edad en número)","20. ¿En qué departamento vive? (en caso de alumno extranjero marcar ""Otro país"" y especificar el país)","20a. Aclaración otro país","21. ¿En qué localidad o barrio reside?","22. ¿Cuántas horas a la semana trabaja? (Horas en números)","23. ¿En qué tipo de institución trabaja? (si trabaja en más de un lugar, marque el que considere su principal fuente de ingreso) ","26. ¿Cuál es su máximo nivel de estudios alcanzado?","27. ¿En que año ingreso en la Universidad y/o centro de estudios terciarios? (año en números)","28. Y ¿En que año egreso? (año en números, si no egreso poner 0)","29. Para cerrar, ¿Sus padres (madre y/o padre) tienen estudios universitarios y/o estudios terciarios en otra institución (IPA, Magisterio, UTU terciario, etc.)?"
"Dos cursos","Economía","Cenur Noreste","N/C","N/C","N/C","Semi presencial/Bi-modal (con instancias virtuales-presenciales)","No lo recuerdo","Si","Si","S/D","Si","S/D","S/D","S/D","Si","Si","Si","S/D","S/D","S/D","El curso fue intermedio. Tanto expositivo como con actividades interactivas de los alumnos","No, fue un curso exclusivo de Educación Permanente","Si, recibo algo de información","En el trabajo / En el sitio Web del trabajo","Otra medio/canal","N/C","N/C","Ocasionalmente investigo si hay algo que me interese",8,"Sí, fueron útiles","Sí, contribuyó en algo","De acuerdo","De acuerdo","Totalmente de acuerdo","De acuerdo","De acuerdo","Elegiría un curso mayoritariamente virtual (con instancias presenciales puntuales)","Si, conozco, pero no realicé ninguna actividad en esta plataforma","Si, conozco, pero no realicé ninguna actividad en esta plataforma","S/D","S/D","S/D","De mi último curso Patrimonio Cultural Inmaterial, culminado en diciembre 2023 no he recibido aún la certificación. ","Mujer",47,"Cerro Largo","N/C","Melo",40,"Pública","12. Universidad grado completo",1996,"Mayo 2022 ","No, no tengo padres universitarios. Soy primera generación de mi familia que acude a la universidad"
"Un curso","Cenur Noreste","N/C","N/C","N/C","CUCEL","Semi presencial/Bi-modal (con instancias virtuales-presenciales)","Entre 15-30 hs","Si","Si","No","Si","S/D","Si","No","No","Si","Si","No","Si","S/D","El curso fue intermedio. Tanto expositivo como con actividades interactivas de los alumnos","No, fue un curso exclusivo de Educación Permanente","Si, recibo algo de información","En el trabajo / En el sitio Web del trabajo","N/C","N/C","N/C","Una vez cada tanto veo si hay novedades de la Universidad",8,"Sí, fueron útiles","Contribuyó poco","De acuerdo","Más o menos","De acuerdo","Totalmente de acuerdo","De acuerdo","Elegiría un curso mayoritariamente virtual (con instancias presenciales puntuales)","No, no conozco esta plataforma","Si, conozco, pero no realicé ninguna actividad en esta plataforma","Si, conozco y realicé al menos un curso el año pasado","No, no conozco esta plataforma","No, no conozco esta plataforma","N/C","Varón",29,"Cerro Largo","N/C","Melo",35,"Pública","8. UTU terciario completo",2023,2024,"No, no tengo padres universitarios. Soy primera generación de mi familia que acude a la universidad"
"Un curso","CURE","N/C","N/C","N/C","N/C","Virtual","Entre 15-30 hs","Si","Si","No","Si","No","No","No","No","No","No","No","No","Si","El curso fue predominantemente expositivo, con algunas actividades interactivas de los alumnos","No, fue un curso exclusivo de Educación Permanente","Si, recibo frecuentemente información","En el trabajo / En el sitio Web del trabajo","N/C","N/C","N/C","Sigo con mucha frecuencia las noticias de la Universidad",10,"Sí, fueron útiles","Sí, contribuyó mucho","Totalmente de acuerdo","Totalmente de acuerdo","Totalmente de acuerdo","De acuerdo","De acuerdo","Elegiría un curso mayoritariamente virtual (con instancias presenciales puntuales)","Si, conozco, pero no realicé ninguna actividad en esta plataforma","Si, conozco, pero no realicé ninguna actividad en esta plataforma","Si, conozco, pero no realicé ninguna actividad en esta plataforma","Si, conozco, pero no realicé ninguna actividad en esta plataforma","Si, conozco y realicé al menos un curso el año pasado","MOOC ","Mujer",35,"Montevideo","N/C","Pocitos",40,"Pública","11. Universidad grado incompleto",2010,0,"Si, tengo al menos un padre/madre universitario o con estudios terciarios"
"Un curso","Cenur Litoral Norte","Cenur Noreste","CURE","N/C","N/C","Semi presencial/Bi-modal (con instancias virtuales-presenciales)","15 hs o menos","Si","Si","Si","Si","S/D","S/D","S/D","S/D","Si","S/D","S/D","S/D","S/D","El curso fue intermedio. Tanto expositivo como con actividades interactivas de los alumnos","No, fue un curso exclusivo de Educación Permanente","Si, recibo algo de información","Mail de comunicaciones institucional del centro/facultad","En el trabajo / En el sitio Web del trabajo","A través un conocido y/o amigo","N/C","Ocasionalmente investigo si hay algo que me interese",9,"Sí, fueron muy útiles","Ni uno ni otro","NS/NC","NS/NC","NS/NC","NS/NC","NS/NC","Elegiría un curso mayoritariamente virtual (con instancias presenciales puntuales)","Si, conozco, pero no realicé ninguna actividad en esta plataforma","Si, conozco, pero no realicé ninguna actividad en esta plataforma","No, no conozco esta plataforma","No, no conozco esta plataforma","No, no conozco esta plataforma","N/C","Mujer",39,"Rivera","N/C","Rivera",60,"Pública","12. Universidad grado completo",2003,2014,"No, no tengo padres universitarios. Soy primera generación de mi familia que acude a la universidad"
"Dos cursos","Sociales","N/C","N/C","N/C","N/C","Virtual","15 hs o menos","Si","Si","No","Si","Si","No","No","No","Si","Si","Si","No","No","El curso fue intermedio. Tanto expositivo como con actividades interactivas de los alumnos","No, fue un curso exclusivo de Educación Permanente","Recibo poca o muy poca información","Mail de comunicaciones institucional del centro/facultad","N/C","N/C","N/C","Una vez cada tanto veo si hay novedades de la Universidad",8,"Sí, fueron muy útiles","Sí, contribuyó mucho","De acuerdo","Totalmente de acuerdo","De acuerdo","De acuerdo","Totalmente de acuerdo","Elegiría un curso 100% virtual (sin instancias presenciales)","No, no conozco esta plataforma","No, no conozco esta plataforma","No, no conozco esta plataforma","No, no conozco esta plataforma","Si, conozco y realicé al menos un curso el año pasado","N/C","Mujer",26,"Colonia","N/C","Colonia del Sacramento",40,"Privada","12. Universidad grado completo",2016,2020,"No, no tengo padres universitarios. Soy primera generación de mi familia que acude a la universidad"
"Un curso","FIC","N/C","N/C","N/C","N/C","Semi presencial/Bi-modal (con instancias virtuales-presenciales)","15 hs o menos","Si","Si","No","No","No","No","No","No","No","Si","No","No","No","El curso fue predominantemente expositivo, con algunas actividades interactivas de los alumnos","Si, era un curso de posgrado (Diploma, Maestría, Doctorado)","Si, recibo frecuentemente información","Sitio Web del Servicio (centro/facultad) en donde se dicta/dictó el curso","Redes sociales electrónicas (Facebook, Twitter, etc.)","Mail de comunicaciones institucional del centro/facultad","N/C","Sigo con mucha frecuencia las noticias de la Universidad",8,"Sí, fueron útiles","Sí, contribuyó mucho","Más o menos","De acuerdo","Más o menos","Más o menos","Más o menos","Elegiría un curso mayoritariamente virtual (con instancias presenciales puntuales)","Si, conozco, pero no realicé ninguna actividad en esta plataforma","Si, conozco, pero no realicé ninguna actividad en esta plataforma","No, no conozco esta plataforma","No, no conozco esta plataforma","No, no conozco esta plataforma","N/C","Mujer",43,"Montevideo","N/C","Malvín Norte",46,"Pública","18. Maestría completo",1999,2004,"No, no tengo padres universitarios. Soy primera generación de mi familia que acude a la universidad"
"Cuatro cursos o más","Sociales","N/C","N/C","N/C","N/C","Virtual","No lo recuerdo","Si","Si","No","Si","Si","No","No","Si","Si","No","No","No","Si","El curso fue predominantemente interactivo, con algunas exposiciones de los docentes","No, fue un curso exclusivo de Educación Permanente","Si, recibo algo de información","A través un conocido y/o amigo","N/C","N/C","N/C","Ocasionalmente investigo si hay algo que me interese",10,"Sí, fueron muy útiles","Sí, contribuyó mucho","Totalmente de acuerdo","Totalmente de acuerdo","Totalmente de acuerdo","Totalmente de acuerdo","Totalmente de acuerdo","Elegiría un curso 100% virtual (sin instancias presenciales)","Si, conozco y realicé al menos un curso el año pasado","No, no conozco esta plataforma","No, no conozco esta plataforma","No, no conozco esta plataforma","No, no conozco esta plataforma","N/C","Mujer",55,"Colonia","N/C","Colonia del Sacramento",6,"Pública","14. Terciarios no universitarios (Formación Docente / Magisterio / etc.) completo",2019,0,"No, no tengo padres universitarios. Soy primera generación de mi familia que acude a la universidad"
"Dos cursos","Bellas Artes","N/C","N/C","N/C","N/C","Presencial","Entre 30-45 hs","No","Si","Si","Si","Si","Si","No","Si","Si","Si","Si","No","Si","El curso fue intermedio. Tanto expositivo como con actividades interactivas de los alumnos","No, fue un curso exclusivo de Educación Permanente","Recibo poca o muy poca información","Sitio Web del Servicio (centro/facultad) en donde se dicta/dictó el curso","Redes sociales electrónicas (Facebook, Twitter, etc.)","N/C","N/C","Sigo con mucha frecuencia las noticias de la Universidad",9,"Sí, fueron muy útiles","Sí, contribuyó mucho","Más o menos","Totalmente de acuerdo","Más o menos","Más o menos","Totalmente de acuerdo","Elegiría un curso mayoritariamente presencial (con instancias virtuales puntuales)","No, no conozco esta plataforma","Si, conozco, pero no realicé ninguna actividad en esta plataforma","Si, conozco, pero no realicé ninguna actividad en esta plataforma","Si, conozco, pero no realicé ninguna actividad en esta plataforma","S/D","N/C","Mujer",40,"San José","N/C","Kiyu",30,"Pública","14. Terciarios no universitarios (Formación Docente / Magisterio / etc.) completo",2023,2017,"No, no tengo padres universitarios. Soy primera generación de mi familia que acude a la universidad"
"Ninguno (Terminar encuesta y pasar a la pregunta 18)","N/C","N/C","N/C","N/C","N/C","N/C","N/C","N/C","N/C","N/C","N/C","N/C","N/C","N/C","N/C","N/C","N/C","N/C","N/C","N/C","N/C","N/C","N/C","N/C","N/C","N/C","N/C","N/C","N/C","N/C","N/C","N/C","N/C","N/C","N/C","N/C","N/C","N/C","N/C","N/C","N/C","N/C","N/C","Mujer",57,"Canelones","N/C","Atlántida",30,"Cuenta propia con inversión (local propio por ejemplo)","13. Terciarios no universitarios (Formación Docente / Magisterio / etc.) incompleto",2007,0,"Si, tengo al menos un padre/madre universitario o con estudios terciarios"
"Un curso","Cenur Litoral Norte","N/C","N/C","N/C","N/C","Presencial","No lo recuerdo","S/D","Si","S/D","S/D","S/D","S/D","S/D","S/D","S/D","S/D","Si","S/D","S/D","El curso fue predominantemente interactivo, con algunas exposiciones de los docentes","No, fue un curso exclusivo de Educación Permanente","Si, recibo frecuentemente información","Mail de comunicaciones institucional del centro/facultad","N/C","N/C","N/C","Sigo con mucha frecuencia las noticias de la Universidad",8,"Sí, fueron muy útiles","Sí, contribuyó mucho","De acuerdo","Totalmente de acuerdo","Totalmente de acuerdo","De acuerdo","De acuerdo","Elegiría un curso mayoritariamente presencial (con instancias virtuales puntuales)","S/D","S/D","S/D","S/D","Si, conozco y realicé al menos un curso el año pasado","Mec   Cenfores. UDELAR ","Mujer",52,"Río Negro","N/C","Fray Bentos",30,"Pública","14. Terciarios no universitarios (Formación Docente / Magisterio / etc.) completo",1991,1995,"No, no tengo padres universitarios. Soy primera generación de mi familia que acude a la universidad"
"Un curso","Derecho","N/C","N/C","N/C","N/C","Virtual","Entre 15-30 hs","Si","Si","Si","No","No","No","No","No","No","Si","No","No","No","El curso fue predominantemente expositivo, con algunas actividades interactivas de los alumnos","No recuerdo / No lo sé","No recibo ningún tipo de información","En el trabajo / En el sitio Web del trabajo","N/C","N/C","N/C","Ocasionalmente investigo si hay algo que me interese",7,"Sí, fueron útiles","Sí, contribuyó en algo","De acuerdo","De acuerdo","De acuerdo","De acuerdo","De acuerdo","Elegiría un curso mayoritariamente virtual (con instancias presenciales puntuales)","Si, conozco y realicé al menos un curso el año pasado","No, no conozco esta plataforma","No, no conozco esta plataforma","No, no conozco esta plataforma","S/D","N/C","Mujer",30,"Montevideo","N/C","Jardínes del Hipódromo",40,"Pública","12. Universidad grado completo",2014,2020,"No, no tengo padres universitarios. Soy primera generación de mi familia que acude a la universidad"
"Dos cursos","Cenur Noreste","N/C","N/C","N/C","N/C","Virtual","Entre 15-30 hs","Si","Si","Si","S/D","Si","No","No","No","Si","Si","S/D","S/D","Si","El curso fue intermedio. Tanto expositivo como con actividades interactivas de los alumnos","No, fue un curso exclusivo de Educación Permanente","Si, recibo algo de información","Mail de comunicaciones institucional del centro/facultad","A través un conocido y/o amigo","N/C","N/C","Ocasionalmente investigo si hay algo que me interese",6,"Sí, fueron útiles","Sí, contribuyó en algo","De acuerdo","Totalmente de acuerdo","Más o menos","De acuerdo","Más o menos","Elegiría un curso 100% virtual (sin instancias presenciales)","No, no conozco esta plataforma","No, no conozco esta plataforma","No, no conozco esta plataforma","Si, conozco, pero no realicé ninguna actividad en esta plataforma","Si, conozco y realicé al menos un curso el año pasado","N/C","Mujer",30,"Rivera","N/C","Centro ",40,"Pública","13. Terciarios no universitarios (Formación Docente / Magisterio / etc.) incompleto","Terciario no universitario ","2015. Terciario no universitario. ","No, no tengo padres universitarios. Soy primera generación de mi familia que acude a la universidad"
"Dos cursos","Cenur Litoral Norte","N/C","N/C","N/C","N/C","Semi presencial/Bi-modal (con instancias virtuales-presenciales)","No lo recuerdo","Si","Si","Si","S/D","Si","S/D","S/D","S/D","Si","S/D","Si","S/D","S/D","El curso fue intermedio. Tanto expositivo como con actividades interactivas de los alumnos","No, fue un curso exclusivo de Educación Permanente","Si, recibo frecuentemente información","Sitio Web del Servicio (centro/facultad) en donde se dicta/dictó el curso","Redes sociales electrónicas (Facebook, Twitter, etc.)","Mail de comunicaciones institucional del centro/facultad","N/C","Sigo con mucha frecuencia las noticias de la Universidad",10,"Sí, fueron muy útiles","Sí, contribuyó mucho","Totalmente de acuerdo","Totalmente de acuerdo","Totalmente de acuerdo","Totalmente de acuerdo","Más o menos","Elegiría un curso 100% virtual (sin instancias presenciales)","No, no conozco esta plataforma","No, no conozco esta plataforma","No, no conozco esta plataforma","No, no conozco esta plataforma","S/D","N/C","Mujer",39,"Artigas","N/C","Artigas",6,"Pública","9. Universidad Técnicatura incompleta",2004,"S/D","S/D"
"Un curso","S/D","N/C","N/C","N/C","N/C","Presencial","Entre 15-30 hs","No","Si","No","No","No","No","No","No","No","No","No","No","No","El curso fue muy expositivo, con muy escasas actividades interactivas entre los alumnos","No, fue un curso exclusivo de Educación Permanente","No recibo ningún tipo de información"," Medios de comunicación tradicionales (radio, TV, prensa)","N/C","N/C","N/C","Sigo con mucha frecuencia las noticias de la Universidad",2,"Poco útiles","Sí, contribuyó en algo","Más o menos","De acuerdo","Más o menos","De acuerdo","Más o menos","Elegiría un curso mayoritariamente virtual (con instancias presenciales puntuales)","Si, conozco, pero no realicé ninguna actividad en esta plataforma","Si, conozco y realicé al menos un curso el año pasado","No, no conozco esta plataforma","No, no conozco esta plataforma","No, no conozco esta plataforma","N/C","Varón",53,"Cerro Largo","N/C","Melo",40,"Cuenta propia con inversión (local propio por ejemplo)","6. Bachillerato UTU/Completo","S/D","S/D","No, no tengo padres universitarios. Soy primera generación de mi familia que acude a la universidad"
"Dos cursos","Cenur Litoral Norte","N/C","N/C","N/C","N/C","Semi presencial/Bi-modal (con instancias virtuales-presenciales)","Entre 15-30 hs","Si","Si","No","Si","Si","No","No","S/D","Si","Si","Si","No","S/D","El curso fue intermedio. Tanto expositivo como con actividades interactivas de los alumnos","No recuerdo / No lo sé","Si, recibo frecuentemente información","Redes sociales electrónicas (Facebook, Twitter, etc.)","N/C","N/C","N/C","Sigo con mucha frecuencia las noticias de la Universidad",8,"Sí, fueron útiles","Sí, contribuyó en algo","De acuerdo","Totalmente de acuerdo","Totalmente de acuerdo","Más o menos","En desacuerdo","Elegiría un curso mayoritariamente presencial (con instancias virtuales puntuales)","Si, conozco, pero no realicé ninguna actividad en esta plataforma","No, no conozco esta plataforma","No, no conozco esta plataforma","No, no conozco esta plataforma","S/D","N/C","Varón",28,"Artigas","N/C","Artigas ",20,"Pública","17. Maestría incompleto",2015,2019,"Si, tengo al menos un padre/madre universitario o con estudios terciarios"
"Un curso","Otro (aclarar abajo)","N/C","N/C","N/C","CURE","Semi presencial/Bi-modal (con instancias virtuales-presenciales)","Entre 15-30 hs","Si","Si","S/D","Si","No","No","No","No","Si","S/D","No","No","Si","El curso fue predominantemente expositivo, con algunas actividades interactivas de los alumnos","No, fue un curso exclusivo de Educación Permanente","No recibo ningún tipo de información","Otra medio/canal","N/C","N/C","N/C","Ocasionalmente investigo si hay algo que me interese",7,"Sí, fueron útiles","No contribuyó en nada","NS/NC","De acuerdo","NS/NC","NS/NC","De acuerdo","Elegiría un curso 100% presencial (sin instancias virtuales)","No, no conozco esta plataforma","No, no conozco esta plataforma","No, no conozco esta plataforma","No, no conozco esta plataforma","No, no conozco esta plataforma","N/C","Mujer",40,"Canelones","N/C","Las Piedras",10,"Cuenta propia sin inversión (uni-persona, consultor)","6. Bachillerato UTU/Completo","S/D","S/D","No, no tengo padres universitarios. Soy primera generación de mi familia que acude a la universidad"
"Dos cursos","Cenur Litoral Norte","N/C","N/C","N/C","N/C","Presencial","Entre 15-30 hs","Si","Si","Si","Si","Si","S/D","S/D","Si","Si","S/D","S/D","S/D","S/D","El curso fue predominantemente interactivo, con algunas exposiciones de los docentes","No, fue un curso exclusivo de Educación Permanente","Si, recibo algo de información","Redes sociales electrónicas (Facebook, Twitter, etc.)","N/C","N/C","N/C","Ocasionalmente investigo si hay algo que me interese",8,"Sí, fueron muy útiles","Sí, contribuyó en algo","Más o menos","Totalmente de acuerdo","Más o menos","En desacuerdo","De acuerdo","Elegiría un curso 100% presencial (sin instancias virtuales)","No, no conozco esta plataforma","No, no conozco esta plataforma","No, no conozco esta plataforma","No, no conozco esta plataforma","No, no conozco esta plataforma","N/C","Varón",26,"Rivera","N/C","La Pedrera",20,"Privada","11. Universidad grado incompleto",4,0,"Si, tengo al menos un padre/madre universitario o con estudios terciarios"
"Un curso","Ciencias","N/C","N/C","N/C","N/C","Semi presencial/Bi-modal (con instancias virtuales-presenciales)","No lo recuerdo","Si","Si","Si","No","Si","No","No","Si","No","Si","Si","No","Si","El curso fue intermedio. Tanto expositivo como con actividades interactivas de los alumnos","Si, era un curso de posgrado (Diploma, Maestría, Doctorado)","Si, recibo algo de información","Sitio Web del Servicio (centro/facultad) en donde se dicta/dictó el curso","N/C","N/C","N/C","Ocasionalmente investigo si hay algo que me interese",9,"Sí, fueron útiles","Sí, contribuyó en algo","De acuerdo","De acuerdo","De acuerdo","De acuerdo","De acuerdo","Elegiría un curso mayoritariamente presencial (con instancias virtuales puntuales)","Si, conozco, pero no realicé ninguna actividad en esta plataforma","Si, conozco, pero no realicé ninguna actividad en esta plataforma","Si, conozco, pero no realicé ninguna actividad en esta plataforma","Si, conozco, pero no realicé ninguna actividad en esta plataforma","S/D","N/C","Mujer",28,"Maldonado","N/C","Playa Hermosa",30,"Cuenta propia sin inversión (uni-persona, consultor)","12. Universidad grado completo",2013,2017,"Si, tengo al menos un padre/madre universitario o con estudios terciarios"
"Dos cursos","Psicología","N/C","N/C","N/C","N/C","Presencial","15 hs o menos","Si","Si","Si","Si","No","Si","Si","No","No","No","No","No","Si","El curso fue predominantemente interactivo, con algunas exposiciones de los docentes","Si, era un curso de posgrado (Diploma, Maestría, Doctorado)","Recibo poca o muy poca información","A través un conocido y/o amigo","N/C","N/C","N/C","Una vez cada tanto veo si hay novedades de la Universidad",9,"Sí, fueron muy útiles","Sí, contribuyó mucho","De acuerdo","De acuerdo","De acuerdo","De acuerdo","De acuerdo","Elegiría un curso mayoritariamente presencial (con instancias virtuales puntuales)","Si, conozco, pero no realicé ninguna actividad en esta plataforma","Si, conozco, pero no realicé ninguna actividad en esta plataforma","No, no conozco esta plataforma","No, no conozco esta plataforma","S/D","N/C","Mujer",50,"Montevideo","N/C","Palermo",40,"Pública","17. Maestría incompleto",2000,2016,"No, no tengo padres universitarios. Soy primera generación de mi familia que acude a la universidad"
"Un curso","Cenur Litoral Norte","N/C","N/C","N/C","N/C","Presencial","Entre 15-30 hs","S/D","Si","S/D","Si","S/D","Si","S/D","S/D","S/D","Si","S/D","S/D","Si","El curso fue intermedio. Tanto expositivo como con actividades interactivas de los alumnos","No, fue un curso exclusivo de Educación Permanente","No recibo ningún tipo de información","Redes sociales electrónicas (Facebook, Twitter, etc.)","A través un conocido y/o amigo","N/C","N/C","Una vez cada tanto veo si hay novedades de la Universidad",5,"Sí, fueron útiles","Contribuyó poco","Más o menos","De acuerdo","Más o menos","Más o menos","Más o menos","Elegiría un curso 100% presencial (sin instancias virtuales)","No, no conozco esta plataforma","No, no conozco esta plataforma","No, no conozco esta plataforma","No, no conozco esta plataforma","S/D","N/C","Mujer",37,"Artigas","N/C","Barrio Hospital","S/D","Otra forma de contrato","16. Diploma completo",2007,2015,"No, no tengo padres universitarios. Soy primera generación de mi familia que acude a la universidad"
"Dos cursos","Veterinaria","N/C","N/C","N/C","N/C","Semi presencial/Bi-modal (con instancias virtuales-presenciales)","Más de 45 hs","Si","Si","No","Si","Si","No","No","Si","Si","No","No","No","Si","El curso fue predominantemente expositivo, con algunas actividades interactivas de los alumnos","No recuerdo / No lo sé","No recibo ningún tipo de información","Redes sociales electrónicas (Facebook, Twitter, etc.)","N/C","N/C","N/C","Sigo con mucha frecuencia las noticias de la Universidad",10,"Sí, fueron muy útiles","Sí, contribuyó mucho","De acuerdo","De acuerdo","De acuerdo","De acuerdo","De acuerdo","Elegiría un curso mayoritariamente virtual (con instancias presenciales puntuales)","Si, conozco y realicé al menos un curso el año pasado","Si, conozco y realicé al menos un curso el año pasado","Si, conozco, pero no realicé ninguna actividad en esta plataforma","No, no conozco esta plataforma","S/D","N/C","Mujer",38,"Montevideo","N/C","Parque Batlle",45,"Pública","12. Universidad grado completo",2004,2013,"No, no tengo padres universitarios. Soy primera generación de mi familia que acude a la universidad"
"Un curso","Ingeniería","N/C","N/C","N/C","N/C","Presencial","15 hs o menos","S/D","Si","S/D","Si","S/D","S/D","S/D","S/D","Si","S/D","S/D","S/D","S/D","El curso fue predominantemente expositivo, con algunas actividades interactivas de los alumnos","Si, era un curso de posgrado (Diploma, Maestría, Doctorado)","Si, recibo frecuentemente información","Mail de comunicaciones institucional del centro/facultad","En el trabajo / En el sitio Web del trabajo","A través un conocido y/o amigo","N/C","Ocasionalmente investigo si hay algo que me interese",8,"Sí, fueron muy útiles","Sí, contribuyó mucho","Totalmente de acuerdo","Totalmente de acuerdo","Totalmente de acuerdo","Totalmente de acuerdo","Totalmente de acuerdo","Elegiría un curso mayoritariamente virtual (con instancias presenciales puntuales)","No, no conozco esta plataforma","No, no conozco esta plataforma","No, no conozco esta plataforma","No, no conozco esta plataforma","S/D","N/C","Varón",35,"Tacuarembó","N/C","N/C",45,"Privada","12. Universidad grado completo",2007,2015,"No, no tengo padres universitarios. Soy primera generación de mi familia que acude a la universidad"
"Un curso","CURE","N/C","N/C","N/C","N/C","Virtual","Entre 30-45 hs","Si","Si","No","No","No","No","No","No","No","Si","No","No","S/D","El curso fue intermedio. Tanto expositivo como con actividades interactivas de los alumnos","No, fue un curso exclusivo de Educación Permanente","Si, recibo frecuentemente información","Sitio Web del Servicio (centro/facultad) en donde se dicta/dictó el curso","N/C","N/C","N/C","Una vez cada tanto veo si hay novedades de la Universidad",7,"Sí, fueron útiles","Sí, contribuyó en algo","De acuerdo","Totalmente de acuerdo","Totalmente de acuerdo","De acuerdo","Totalmente de acuerdo","Elegiría un curso 100% virtual (sin instancias presenciales)","Si, conozco y realicé al menos un curso el año pasado","Si, conozco, pero no realicé ninguna actividad en esta plataforma","No, no conozco esta plataforma","No, no conozco esta plataforma","S/D","N/C","Mujer",37,"Montevideo","N/C","Prado ",30,"Pública","12. Universidad grado completo",2019,"S/D","No, no tengo padres universitarios. Soy primera generación de mi familia que acude a la universidad"
